sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
13552 13680 3.103044 -0.040704 2.918681 -0.071985 0.681115 -0.060030 35.432449 8.038720 -105.223762 24.480396
13632 13680 2.825302 0.653650 5.159768 -0.149751 0.645961 0.228661 55.908485 9.289187 -100.904228 24.468416
13648 13680 2.734318 0.363937 6.469463 -0.861358 0.145279 0.573812 62.852531 14.112419 -96.930259 24.462425
13840 13680 2.435027 0.059858 8.916462 -0.143359 -0.200937 0.839067 64.633056 18.757011 -95.548011 24.480396
14016 13680 2.221932 0.756606 8.727311 -0.310608 0.029163 0.970096 60.359798 6.252337 -98.658073 24.456436
14208 13680 1.836446 1.398285 13.113712 -2.605222 -0.569524 1.043601 59.825641 25.366624 -97.794166 24.456436
14480 13680 1.853207 1.989683 23.773239 -3.389269 -1.211889 1.575176 61.606166 46.445934 -74.295921 24.450445
14496 13680 2.391929 3.392757 30.005664 -4.257472 -0.093344 2.652174 77.274787 -3.215488 -55.981113 24.447448
13968 13680 2.051935 3.981760 23.452400 -4.642039 1.583408 4.325731 50.388858 11.968760 -103.150382 24.441459
13840 13680 3.165296 3.062340 21.733276 -4.173315 1.632411 4.771018 63.030586 -17.506544 -70.149169 24.438465
13872 13680 2.818119 1.743068 14.751429 -2.574329 0.518127 4.535591 53.415748 30.368494 -97.448608 24.423488
13648 13680 3.083889 1.199556 12.838364 -2.210003 0.184694 4.029582 70.686843 -0.893191 -84.490013 24.426483
13904 13680 2.734318 2.051935 11.866269 -2.147152 0.331703 3.397871 38.459339 15.362886 -105.742103 24.420494
13936 13680 2.875583 1.939402 14.071441 -3.316830 0.709878 2.909972 71.042945 34.119895 -78.269889 24.414503
14080 13680 2.159680 3.014454 15.019593 -3.661981 0.602284 2.026855 67.481895 -14.469695 -69.630828 24.411506
14160 13680 1.364764 0.684777 11.365855 -0.585450 -0.566328 -0.247519 67.481895 20.186117 -92.783508 24.420494
