sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
14832 13712 -0.677594 -1.482086 8.928434 -0.089333 -0.100127 0.119246 54.127960 17.149267 -102.286476 22.719232
14640 13712 -0.277742 -0.905054 4.134997 -0.053114 0.252481 0.126703 56.620693 12.504674 -100.213104 22.719232
14464 13712 0.059858 -1.087023 7.041706 0.006542 0.132104 -0.066113 60.893955 13.933780 -96.411918 22.731212
14544 13712 0.033521 0.562666 10.333902 0.175922 -0.014905 0.078766 60.715904 10.896931 -96.239135 22.722227
14528 13712 0.529146 -0.150842 9.270822 -0.024351 -0.074560 0.043611 60.181743 7.145528 -97.103042 22.710247
14304 13712 0.869139 -0.191546 11.732187 -0.191600 -0.082017 0.036154 56.264591 8.574634 -99.176414 22.716236
14224 13712 1.288146 0.445344 12.879068 0.310147 -0.034080 -0.037350 54.662117 8.038720 -100.731445 22.695270
14112 13712 0.478865 -0.174786 4.362458 -0.700804 -0.111845 0.341890 53.415748 2.143658 -99.521980 22.713241
14176 13712 1.723913 1.328850 10.587700 0.227055 -0.094801 -0.207795 53.415748 -6.073699 -96.066352 22.701261
14224 13712 2.348832 -1.029559 11.294025 0.157812 -0.094801 -0.361195 54.484066 -3.572764 -96.411918 22.698265
14048 13712 1.486875 0.160420 6.823822 -0.143662 -0.023427 0.050003 54.840171 -7.145528 -93.992980 22.695270
13888 13712 1.977711 0.730269 10.034611 -0.735958 0.075644 -0.224839 57.689010 -2.858211 -93.647415 22.683290
14096 13712 0.873928 -0.213095 6.105525 -0.019025 0.052208 -0.405937 60.181743 10.003740 -96.757476 22.692276
14016 13712 1.324061 -0.031126 10.338690 -0.405721 -0.302530 -0.026697 61.250061 13.576504 -96.757476 22.683290
14224 13712 2.312917 1.568282 13.003573 0.343171 -0.029819 0.089418 54.662117 15.184247 -100.040321 22.689279
14352 13712 2.068696 1.412651 13.482438 0.146094 -0.153391 -0.350543 54.484066 8.217358 -99.867538 22.677299
14208 13712 1.197162 -1.209133 9.067304 0.260079 -0.153391 -0.299409 53.059646 16.791992 -100.558670 22.659328
14160 13712 1.587437 1.237865 9.301948 -0.314107 -0.068169 0.117116 51.991329 15.720163 -101.940917 22.665319
13968 13712 1.336033 1.565888 5.001742 0.033174 0.318528 -0.378240 52.703540 18.935649 -101.595352 22.650342
14080 13712 1.728702 -0.397458 10.939665 -0.063766 0.090558 -0.424047 54.127960 25.723901 -97.794166 22.656333
13952 13712 1.271386 -0.538723 8.756042 -0.114900 -0.149130 0.028697 53.059646 27.153007 -98.485290 22.650342
14256 13712 1.510818 0.359149 10.130384 -0.103182 -0.110780 -0.128964 49.320541 28.760751 -98.312507 22.650342
14192 13712 1.652083 -0.320839 12.926954 0.049153 -0.109715 -0.043742 44.335071 32.690792 -98.658073 22.638362
14160 13712 2.269819 0.380697 11.052199 -0.234211 -0.070299 -0.051199 43.444808 33.583984 -98.830856 22.650342
14160 13712 2.334465 -0.253798 15.072268 0.485918 -0.082017 -0.082092 40.239864 31.797599 -99.867538 22.632371
14096 13712 2.291368 0.509991 9.560535 -0.291736 -0.053255 -0.020306 41.308181 31.083047 -101.249794 22.623386
14080 13712 2.403901 -0.055069 10.575728 0.002281 0.070318 -0.139617 37.747131 31.797599 -99.867538 22.629377
14096 13712 2.080667 0.347177 8.662664 0.002281 0.057534 -0.068243 37.747131 35.013088 -99.521980 22.635366
13968 13712 2.186017 -0.804493 10.180665 0.241969 0.060730 -0.101267 37.925182 30.547132 -100.040321 22.632371
13984 13712 2.763050 0.653650 7.585217 0.003346 0.026641 -0.007522 38.281288 32.690792 -98.312507 22.614400
14128 13712 2.116582 -0.162814 10.357845 0.192966 -0.007448 -0.087418 38.637393 33.405345 -99.349197 22.617395
14224 13712 2.595447 1.709547 8.483089 -0.511184 0.051143 0.074504 38.815444 33.941257 -99.521980 22.599424
14240 13712 1.714336 2.415873 5.506945 0.181248 0.061796 -0.205664 40.595970 32.154876 -99.521980 22.611406
14096 13712 2.480519 -1.031954 10.297986 0.208945 -0.042602 -0.373979 34.008026 31.618961 -101.077011 22.596429
14656 13712 1.506030 -0.299290 13.199907 0.060871 -0.062842 0.176771 32.049449 27.153007 -100.213104 22.608409
14432 13712 1.477298 0.917026 10.520659 -0.122357 -0.053255 -0.277038 30.625030 33.583984 -98.830856 22.599424
14480 13712 1.889121 -0.282530 8.246051 0.262210 -0.071364 -0.208860 25.817611 29.475303 -100.385887 22.596429
14528 13712 2.107005 0.565060 9.469551 0.103483 -0.128890 -0.236558 21.010194 24.294795 -99.176414 22.587444
14352 13712 1.984894 0.045492 7.657047 0.188705 -0.082017 -0.345216 17.805250 19.292926 -98.830856 22.596429
14336 13712 1.041531 -0.055069 8.655481 -0.064832 -0.052189 -0.304736 15.134463 15.898800 -98.658073 22.596429
14416 13712 0.857168 0.838013 9.426453 0.080047 -0.023427 -0.333498 14.778358 13.397866 -96.239135 22.590438
14432 13712 0.574638 0.282530 10.721782 0.227055 -0.031949 -0.275973 16.558881 5.537785 -97.275825 22.572467
14352 13712 0.031126 0.380697 -0.011972 -0.107443 0.304680 -0.447483 20.654090 2.500935 -98.139732 22.569473
14528 13712 -0.007183 -0.555483 8.169433 -0.040330 -0.067103 -0.361195 26.351770 12.504674 -103.668731 22.587444
14912 13712 0.201123 0.897871 15.809720 0.123723 -0.411189 0.026567 24.571245 7.145528 -101.595352 22.557493
15056 13712 -1.029559 -0.442950 10.580517 -0.171360 -0.059646 -0.084222 20.476037 6.252337 -99.694763 22.569473
14896 13712 -0.897871 0.131688 7.254801 -0.092529 0.010662 -0.284495 19.407722 9.825101 -100.040321 22.566478
15088 13712 -0.703931 -1.613774 8.717733 0.270732 0.019184 -0.086353 20.119932 5.895061 -99.694763 22.557493
15184 13712 -0.596187 1.041531 10.944454 -0.838225 0.018119 0.022306 18.517459 3.930041 -99.521980 22.551502
